"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","practiceTest","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","survey-multi-choice","26","680421","0.0-11.0-1.0-5.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","10272","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","","",""
"","","","","","survey-multi-choice","27","702597","0.0-11.0-1.0-6.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","22171","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]","","","",""
"","","","","","instructions","28","805294","0.0-12.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","[{""page_index"":0,""viewing_time"":16371},{""page_index"":1,""viewing_time"":6976},{""page_index"":2,""viewing_time"":72916},{""page_index"":3,""viewing_time"":6430}]","102693","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","29","838706","0.0-13.0-0.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","[{""page_index"":0,""viewing_time"":33411}]","33411","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","849864","0.0-13.0-1.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","11157","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 1</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>3 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","851428","0.0-13.0-2.0-0.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","584","536","296","1","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","32","854446","0.0-13.0-2.0-1.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","1595","","","","","","","","","","","","","","f","yesOrNo_prac","","","","1","","","close gt","3000","","","","",""
"","","","","","html-keyboard-response","33","856028","0.0-13.0-2.0-0.1","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","610","263","4","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","34","859034","0.0-13.0-2.0-1.1","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","1151","","","","","","","","","","","","","","j","yesOrNo_prac","","","","4","","","gt","3000","","","","",""
"","","","","","html-keyboard-response","35","860595","0.0-13.0-2.0-0.2","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","36","863604","0.0-13.0-2.0-1.2","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","1595","","","","","","","","","","","","","","f","yesOrNo_prac","","","","1","","","far gt","3000","","","","",""
"","","","","","html-keyboard-response","37","868635","0.0-13.0-3.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","5029","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 2</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>0.7 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","870741","0.0-13.0-4.0-0.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","334","350","3","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","39","871460","0.0-13.0-4.0-1.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","null","","","","","","","","","","","","","","null","yesOrNo_prac","","","","3","","","close gt","700","","","","",""
"","","","","","html-keyboard-response","40","873031","0.0-13.0-4.0-0.1","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","610","263","4","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","41","873736","0.0-13.0-4.0-1.1","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","null","","","","","","","","","","","","","","null","yesOrNo_prac","","","","4","","","far gt","700","","","","",""
"","","","","","html-keyboard-response","42","875290","0.0-13.0-4.0-0.2","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","500","317","6","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","43","876002","0.0-13.0-4.0-1.2","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","343","","","","","","","","","","","","","","j","yesOrNo_prac","","","","6","","","gt","700","","","","",""
"","","","","","instructions","44","901945","0.0-13.0-5.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","[{""page_index"":0,""viewing_time"":25939}]","25939","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","45","908472","0.0-13.0-6.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","6526","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice Test BLOCK 1</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>0.7 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","910044","0.0-13.0-7.0-0.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","390","263","4","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","47","910754","0.0-13.0-7.0-1.0","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","null","","","","","","","","","","","","","","null","yesOrNo_prac","","","","4","","","far gt","700","","","","",""
"","","","","","html-keyboard-response","48","912318","0.0-13.0-7.0-0.1","673f6c92a931906b3b255300","6796e1c0ff24ca17c453c51c","67c6b27217cdc585d545b9dc","passed","","","","","","","","","","","","","","","","","ballFalling_prac","559","586","302","5","fallScene","false","","","","","","",""
