"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","practiceTest","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","survey-multi-choice","25","269437","0.0-11.0-1.0-4.0","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","8033","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""Before every individual trial.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","26","276494","0.0-11.0-1.0-5.0","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","7055","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","27","291303","0.0-11.0-1.0-6.0","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","14808","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]","","","","",""
"","","","","","html-button-response","28","293269","0.0-11.0-2.0-0.0","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","1961","","","","","","","","","","","","","<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>","0","","","","","","","","","","","failed","","","",""
"","","","","","instructions","29","352813","0.0-11.1-0.1-0.1","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","[{""page_index"":0,""viewing_time"":28803},{""page_index"":1,""viewing_time"":4716},{""page_index"":2,""viewing_time"":8143},{""page_index"":3,""viewing_time"":17879}]","59543","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","377023","0.0-11.1-0.1-1.1","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","23679","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","f","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","378578","0.0-11.1-0.1-2.1-0.3","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","","",""
"","","","","","html-keyboard-response","32","381899","0.0-11.1-0.1-2.1-1.3","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","3319","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","","",""
"","","","","","html-keyboard-response","33","383495","0.0-11.1-0.1-2.1-0.4","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","","",""
"","","","","","html-keyboard-response","34","385199","0.0-11.1-0.1-2.1-1.4","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","1701","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","","",""
"","","","","","html-keyboard-response","35","387312","0.0-11.1-0.1-2.1-0.5","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","","",""
"","","","","","html-keyboard-response","36","389290","0.0-11.1-0.1-2.1-1.5","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","1975","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","","",""
"","","","","","instructions","37","419050","0.0-11.1-0.1-3.1","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","[{""page_index"":0,""viewing_time"":18623},{""page_index"":1,""viewing_time"":11137}]","29760","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","38","421448","0.0-11.1-0.1-4.1","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","1887","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","39","444869","0.0-11.1-1.1-0.1","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","23420","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","40","464881","0.0-11.1-1.1-1.1","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","20011","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","41","470107","0.0-11.1-1.1-2.1","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","5224","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","42","514869","0.0-11.1-1.1-3.1","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","44761","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","43","548355","0.0-11.1-1.1-4.1","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","33485","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","44","599894","0.0-11.1-1.1-5.1","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","51531","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","45","628899","0.0-11.1-1.1-6.1","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","29001","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]","","","","",""
"","","","","","instructions","46","651679","0.0-12.0","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","[{""page_index"":0,""viewing_time"":5793},{""page_index"":1,""viewing_time"":7245},{""page_index"":2,""viewing_time"":5919},{""page_index"":3,""viewing_time"":3814}]","22772","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","47","669800","0.0-13.0-0.0","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","[{""page_index"":0,""viewing_time"":18120}]","18121","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","694135","0.0-13.0-1.0","605a2dbead400eae8de18f8c","6796e1c0ff24ca17c453c51c","67c70c4c57a6c80e7cd71ccf","passed","","24330","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 1</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>3 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","","",""
