"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","html-keyboard-response","46","435255","0.0-13.0-7.0-0.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","","","","","","","","","","","","","","","","ballFalling_prac","559","586","302","5","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","47","436268","0.0-13.0-7.0-1.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","607","","","","","","","","","","","","","","f","yesOrNo_prac","","","","5","","","gt","1000","","","",""
"","","","","","html-keyboard-response","48","437823","0.0-13.0-7.0-0.1","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","500","317","6","fallScene","true","","","","","",""
"","","","","","html-keyboard-response","49","438842","0.0-13.0-7.0-1.1","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","503","","","","","","","","","","","","","","f","yesOrNo_prac","","","","6","","","close gt","1000","","","",""
"","","","","","html-keyboard-response","50","440424","0.0-13.0-7.0-0.2","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","390","263","4","fallScene","true","","","","","",""
"","","","","","html-keyboard-response","51","441443","0.0-13.0-7.0-1.2","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","614","","","","","","","","","","","","","","f","yesOrNo_prac","","","","4","","","far gt","1000","","","",""
"","","","","","html-keyboard-response","52","444528","0.0-13.0-8.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","3083","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice Test BLOCK 2</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>3 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","53","446110","0.0-13.0-9.0-0.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","365","249","2","fallScene","false","","","","","",""
"","","","","","html-keyboard-response","54","449119","0.0-13.0-9.0-1.0","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","895","","","","","","","","","","","","","","f","yesOrNo_prac","","","","2","","","gt","3000","","","",""
"","","","","","html-keyboard-response","55","450687","0.0-13.0-9.0-0.1","67915f6f598c16696b97305d","6790928bebf0b969fc839b02","67929efec7adfe61a0d3fdf9","passed","","","","","","","","","","","","","","","","","ballFalling_prac","559","586","302","5","fallScene","false","","","","","",""
