"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","comprehensionCheck","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"","","","","","html-keyboard-response","48","302050","0.0-6.0-0.12","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","322.3","308.07114317029976","253.89","2","","","","","","",""
"","","","","","html-keyboard-response","49","306397","0.0-6.0-1.12","","","","","","","","","","","","","","","","718.0000294844807","257.0099999565332","4345","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","49","306397","0.0-6.0-1.12","","","","","","","","","","reconstruct","","","","","","718.0000294844807","257.0099999565332","4345","","","","","","","","","","3","500","250","218.1127069994434","191.96827389950553","409.9407594208137","false"
"","","","","","html-keyboard-response","50","309401","0.0-6.0-0.13","","","","null","","null","","","","fallScene","","","","","","","","","","","","","false","322.3","379.3711431702997","245.25","1","","","","","","",""
"","","","","","html-keyboard-response","51","311781","0.0-6.0-1.13","","","","","","","","","","","","","","","","354.0000701288332","225.0099997540943","2379.000000000058","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","51","311781","0.0-6.0-1.13","","","","","","","","","","reconstruct","","","","","","354.0000701288332","225.0099997540943","2379.000000000058","","","","","","","","","","1","375","250","32.641954091081764","6.455183391295546","32.45533788500269","false"
"","","","","","html-keyboard-response","52","314785","0.0-6.0-0.14","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","500","453.67114317029973","210.33","5","","","","","","",""
"","","","","","html-keyboard-response","53","317481","0.0-6.0-1.14","","","","","","","","","","","","","","","","543.9929641987059","203.00710615931072","2693.999999999942","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","53","317481","0.0-6.0-1.14","","","","","","","","","","reconstruct","","","","","","543.9929641987059","203.00710615931072","2693.999999999942","","","","","","","","","","5","625","250","93.65079775866536","175.86155373637507","90.61818872659856","true"
"","","","","","html-keyboard-response","54","320484","0.0-6.0-0.15","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","604.4000000000001","667.6211431702998","201.78","9","","","","","","",""
"","","","","","html-keyboard-response","55","322431","0.0-6.0-1.15","","","","","","","","","","","","","","","","347.99","250","1946","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","55","322432","0.0-6.0-1.15","","","","","","","","","","reconstruct","","","","","","347.99","250","1946","","","","","","","","","","3","500","250","152.01","174.4190816330545","323.247948306486","false"
"","","","","","html-keyboard-response","56","325435","0.0-6.0-0.16","","","","null","","null","","","","fallScene","","","","","","","","","","","","","false","604.4000000000001","575.4211431702997","266.76","12","","","","","","",""
"","","","","","html-keyboard-response","57","328032","0.0-6.0-1.16","","","","","","","","","","","","","","","","612.99","240","2596","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","57","328032","0.0-6.0-1.16","","","","","","","","","","reconstruct","","","","","","612.99","240","2596","","","","","","","","","","2","375","350","262.1816929154284","217.0196586249499","46.125010606942055","false"
"","","","","","html-keyboard-response","58","331036","0.0-6.0-0.17","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","500","453.67114317029973","210.33","5","","","","","","",""
"","","","","","html-keyboard-response","59","333414","0.0-6.0-1.17","","","","","","","","","","","","","","","","542.0099999925001","232.99998775265496","2376","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","59","333414","0.0-6.0-1.17","","","","","","","","","","reconstruct","","","","","","542.0099999925001","232.99998775265496","2376","","","","","","","","","","1","375","250","167.87298923264802","88.10708069004328","91.20132657674853","false"
"","","","","","html-button-response","60","336749","0.0-7.0","","","","3334","","0","","","","","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are doing great! Click 'Next' when you are ready for the next set.</p>","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","61","339753","0.0-8.0-0.0","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","500","553.4711431702997","282.51","7","","","","","","",""
"","","","","","html-keyboard-response","62","342265","0.0-8.0-1.0","","","","","","","","","","","","","","","","476.0099994999875","281.0000999999996","2510","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","62","342265","0.0-8.0-1.0","","","","","","","","","","reconstruct","","","","","","476.0099994999875","281.0000999999996","2510","","","","","","","","","","6","625","350","164.19198046495384","98.34265330650666","77.47585802508254","false"
"","","","","","html-keyboard-response","63","345268","0.0-8.0-0.1","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","500","553.4711431702997","282.51","7","","","","","","",""
"","","","","","html-keyboard-response","64","347914","0.0-8.0-1.1","","","","","","","","","","","","","","","","464.00707106656625","226.99292893094253","2645","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","64","347914","0.0-8.0-1.1","","","","","","","","","","reconstruct","","","","","","464.00707106656625","226.99292893094253","2645","","","","","","","","","","4","500","350","128.1648565956962","86.1049548628805","105.28991109061111","false"
"","","","","","html-keyboard-response","65","350917","0.0-8.0-0.2","","","","null","","null","","","","fallScene","","","","","","","","","","","","","false","500","553.4711431702997","282.51","7","","","","","","",""
"","","","","","html-keyboard-response","66","352997","0.0-8.0-1.2","","","","","","","","","","","","","","","","552.0070717401431","247.00707039541663","2078.999999999942","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","66","352997","0.0-8.0-1.2","","","","","","","","","","reconstruct","","","","","","552.0070717401431","247.00707039541663","2078.999999999942","","","","","","","","","","1","375","250","177.03237295375718","181.4079630129659","35.533104503555585","true"
"","","","","","html-keyboard-response","67","356001","0.0-8.0-0.3","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","500","479.92114317029973","330.87","6","","","","","","",""
"","","","","","html-keyboard-response","68","358614","0.0-8.0-1.3","","","","","","","","","","","","","","","","541.9999299447562","228.99000024538987","2611","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","68","358614","0.0-8.0-1.3","","","","","","","","","","reconstruct","","","","","","541.9999299447562","228.99000024538987","2611","","","","","","","","","","6","625","350","146.7393323883754","146.33465617895396","119.30343715663767","false"
"","","","","","html-keyboard-response","69","361618","0.0-8.0-0.4","","","","null","","null","","","","fallScene","","","","","","","","","","","","","true","322.3","296.07114317029976","371.46","3","","","","","","",""
"","","","","","html-keyboard-response","70","364131","0.0-8.0-1.4","","","","","","","","","","","","","","","","747.9921726886037","230.00622359994733","2511","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","70","364131","0.0-8.0-1.4","","","","","","","","","","reconstruct","","","","","","747.9921726886037","230.00622359994733","2511","","","","","","","","","","4","500","350","275.49704914855266","205.05489569349075","473.54174871780816","false"
