"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"","","","","","html-keyboard-response","29","362273","0.0-6.0-1.7","","","","","","","","","","reconstruct","","","","","","660","247.01","3119.2999999821186","","","","","","","","","6","625","350","108.77472178773891","331.1812681770825","351.99610036115405","false"
"","","","","","html-keyboard-response","30","365277","0.0-6.0-0.8","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","379.3711431702997","245.25","1","","","","","","",""
"","","","","","html-keyboard-response","31","368884","0.0-6.0-1.8","","","","","","","","","","","","","","","","631.0000999949896","293.0099995000376","3606.4000000059605","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","368884","0.0-6.0-1.8","","","","","","","","","","reconstruct","","","","","","631.0000999949896","293.0099995000376","3606.4000000059605","","","","","","","","","4","500","350","142.85967365104463","159.76195917689645","256.1213569090349","false"
"","","","","","html-keyboard-response","32","371887","0.0-6.0-0.9","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","500","453.67114317029973","210.33","5","","","","","","",""
"","","","","","html-keyboard-response","33","375126","0.0-6.0-1.9","","","","","","","","","","","","","","","","519","267.99","3237.7000000178814","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","375126","0.0-6.0-1.9","","","","","","","","","","reconstruct","","","","","","519","267.99","3237.7000000178814","","","","","","","","","4","500","350","84.18218398212295","147.15322584009792","87.13515441356304","true"
"","","","","","html-keyboard-response","34","378129","0.0-6.0-0.10","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","500","453.67114317029973","210.33","5","","","","","","",""
"","","","","","html-keyboard-response","35","381580","0.0-6.0-1.10","","","","","","","","","","","","","","","","502.99000049837383","256.00009983600506","3450.800000011921","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","381580","0.0-6.0-1.10","","","","","","","","","","reconstruct","","","","","","502.99000049837383","256.00009983600506","3450.800000011921","","","","","","","","","2","375","350","158.79994161968307","160.30239445411223","67.2168707035488","true"
"","","","","","html-keyboard-response","36","384587","0.0-6.0-0.11","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","322.3","296.07114317029976","371.46","3","","","","","","",""
"","","","","","html-keyboard-response","37","388210","0.0-6.0-1.11","","","","","","","","","","","","","","","","275.99","260","3622.5","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","388210","0.0-6.0-1.11","","","","","","","","","","reconstruct","","","","","","275.99","260","3622.5","","","","","","","","","2","375","350","133.8020182956894","81.79422987254857","113.25450945117406","false"
"","","","","","html-keyboard-response","38","391214","0.0-6.0-0.12","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","500","479.92114317029973","330.87","6","","","","","","",""
"","","","","","html-keyboard-response","39","396670","0.0-6.0-1.12","","","","","","","","","","","","","","","","501","251.01000000000002","5455.299999982119","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","396670","0.0-6.0-1.12","","","","","","","","","","reconstruct","","","","","","501","251.01000000000002","5455.299999982119","","","","","","","","","4","500","350","98.9950508863953","27.732965791411512","82.59502288423316","false"
"","","","","","html-keyboard-response","40","399675","0.0-6.0-0.13","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","604.4000000000001","575.4211431702997","266.76","12","","","","","","",""
"","","","","","html-keyboard-response","41","403047","0.0-6.0-1.13","","","","","","","","","","","","","","","","372.0070708011758","276.9929286655621","3371.0999999940395","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","403047","0.0-6.0-1.13","","","","","","","","","","reconstruct","","","","","","372.0070708011758","276.9929286655621","3371.0999999940395","","","","","","","","","3","500","250","130.808287668784","77.26089850056657","203.671298092946","false"
"","","","","","html-keyboard-response","42","406051","0.0-6.0-0.14","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","379.3711431702997","245.25","1","","","","","","",""
"","","","","","html-keyboard-response","43","417648","0.0-6.0-1.14","","","","","","","","","","","","","","","","671","237.99","11595.700000017881","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","43","417648","0.0-6.0-1.14","","","","","","","","","","reconstruct","","","","","","671","237.99","11595.700000017881","","","","","","","","","2","375","350","316.4841861768136","104.84116268248488","291.71921043324835","false"
"","","","","","html-keyboard-response","44","420655","0.0-6.0-0.15","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","604.4000000000001","575.4211431702997","266.76","12","","","","","","",""
"","","","","","html-keyboard-response","45","424992","0.0-6.0-1.15","","","","","","","","","","","","","","","","633.0099994613405","290.00010379257975","4336.5","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","45","424992","0.0-6.0-1.15","","","","","","","","","","reconstruct","","","","","","633.0099994613405","290.00010379257975","4336.5","","","","","","","","","4","500","350","145.91657719946355","112.32651707016848","62.101359028607625","false"
"","","","","","html-keyboard-response","46","427998","0.0-6.0-0.16","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","604.4000000000001","596.8711431702998","394.5","10","","","","","","",""
"","","","","","html-keyboard-response","47","432705","0.0-6.0-1.16","","","","","","","","","","","","","","","","580.9999842688837","232.0099999876266","4705.899999976158","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","47","432705","0.0-6.0-1.16","","","","","","","","","","reconstruct","","","","","","580.9999842688837","232.0099999876266","4705.899999976158","","","","","","","","","4","500","350","143.1175654994148","106.60332255197638","163.26326527696028","false"
"","","","","","html-keyboard-response","48","435708","0.0-6.0-0.17","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","500","453.67114317029973","210.33","5","","","","","","",""
"","","","","","html-keyboard-response","49","439076","0.0-6.0-1.17","","","","","","","","","","","","","","","","506.00999999970026","227.0000024483439","3367.100000023842","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","49","439076","0.0-6.0-1.17","","","","","","","","","","reconstruct","","","","","","506.00999999970026","227.0000024483439","3367.100000023842","","","","","","","","","6","625","350","171.13626003211223","221.04589134967412","54.92945399179094","true"
"","","","","","html-button-response","50","490002","0.0-7.0","","","","50924","","0","","","","","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are doing great! Click 'Next' when you are ready for the next set.</p>","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","51","493006","0.0-8.0-0.0","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","322.3","296.07114317029976","371.46","3","","","","","","",""
"","","","","","html-keyboard-response","52","497592","0.0-8.0-1.0","","","","","","","","","","","","","","","","315.9900002541552","296.0000712954306","4585.9000000059605","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","52","497592","0.0-8.0-1.0","","","","","","","","","","reconstruct","","","","","","315.9900002541552","296.0000712954306","4585.9000000059605","","","","","","","","","5","625","250","312.4150868669945","350.6375970361613","78.044613572147","true"
"","","","","","html-keyboard-response","53","500597","0.0-8.0-0.1","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","322.3","379.3711431702997","245.25","1","","","","","","",""
"","","","","","html-keyboard-response","54","504007","0.0-8.0-1.1","","","","","","","","","","","","","","","","337.00000450151","277.0099999989868","3409","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","54","504007","0.0-8.0-1.1","","","","","","","","","","reconstruct","","","","","","337.00000450151","277.0099999989868","3409","","","","","","","","","6","625","350","297.10526334496024","267.03201644646543","52.952912970161066","false"
"","","","","","html-keyboard-response","55","507022","0.0-8.0-0.2","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","322.3","308.07114317029976","253.89","2","","","","","","",""
"","","","","","html-keyboard-response","56","513793","0.0-8.0-1.2","","","","","","","","","","","","","","","","280.9998998675842","216.0099994986624","6771","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","56","513793","0.0-8.0-1.2","","","","","","","","","","reconstruct","","","","","","280.9998998675842","216.0099994986624","6771","","","","","","","","","2","375","350","163.67449116845498","117.11790630185682","46.55906627002047","false"
"","","","","","html-keyboard-response","57","516800","0.0-8.0-0.3","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","500","453.67114317029973","210.33","5","","","","","","",""
"","","","","","html-keyboard-response","58","520890","0.0-8.0-1.3","","","","","","","","","","","","","","","","492.01","237","4088.5","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","58","520890","0.0-8.0-1.3","","","","","","","","","","reconstruct","","","","","","492.01","237","4088.5","","","","","","","","","5","625","250","133.62387548638156","175.86155373637507","46.70285690413654","true"
"","","","","","html-keyboard-response","59","523894","0.0-8.0-0.4","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","379.3711431702997","245.25","1","","","","","","",""
"","","","","","html-keyboard-response","60","528180","0.0-8.0-1.4","","","","","","","","","","","","","","","","647.0099995001874","230.99990001999245","4286.5999999940395","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","60","528180","0.0-8.0-1.4","","","","","","","","","","reconstruct","","","","","","647.0099995001874","230.99990001999245","4286.5999999940395","","","","","","","","","1","375","250","272.672777569273","6.455183391295546","268.01795232224737","false"
"","","","","","html-keyboard-response","61","531186","0.0-8.0-0.5","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","379.3711431702997","245.25","1","","","","","","",""
"","","","","","html-keyboard-response","62","534274","0.0-8.0-1.5","","","","","","","","","","","","","","","","648.0000000000053","246.01","3087","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","62","534274","0.0-8.0-1.5","","","","","","","","","","reconstruct","","","","","","648.0000000000053","246.01","3087","","","","","","","","","5","625","250","23.343523727154945","245.67478056867253","268.6299319168184","false"
"","","","","","html-keyboard-response","63","537279","0.0-8.0-0.6","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","322.3","296.07114317029976","371.46","3","","","","","","",""
"","","","","","html-keyboard-response","64","551500","0.0-8.0-1.6","","","","","","","","","","","","","","","","288","236.01","14220.300000011921","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","64","551500","0.0-8.0-1.6","","","","","","","","","","reconstruct","","","","","","288","236.01","14220.300000011921","","","","","","","","","1","375","250","88.11764919696849","144.8526701184459","135.69025702708163","true"
"","","","","","html-keyboard-response","65","554503","0.0-8.0-0.7","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","308.07114317029976","253.89","2","","","","","","",""
"","","","","","html-keyboard-response","66","561177","0.0-8.0-1.7","","","","","","","","","","","","","","","","687.9900000000091","212.00000042765876","6672.899999976158","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","66","561177","0.0-8.0-1.7","","","","","","","","","","reconstruct","","","","","","687.9900000000091","212.00000042765876","6672.899999976158","","","","","","","","","4","500","350","233.20428808658215","214.64812643942545","382.2212838644179","false"
"","","","","","html-keyboard-response","67","564181","0.0-8.0-0.8","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","604.4000000000001","667.6211431702998","201.78","9","","","","","","",""
"","","","","","html-keyboard-response","68","569974","0.0-8.0-1.8","","","","","","","","","","","","","","","","616.01","260.0000000098133","5792","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","68","569974","0.0-8.0-1.8","","","","","","","","","","reconstruct","","","","","","616.01","260.0000000098133","5792","","","","","","","","","2","375","350","257.2660492529739","328.0187522540336","77.8028180754903","true"
"","","","","","html-keyboard-response","69","572979","0.0-8.0-0.9","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","296.07114317029976","371.46","3","","","","","","",""
"","","","","","html-keyboard-response","70","576732","0.0-8.0-1.9","","","","","","","","","","","","","","","","718.0000999949923","252.99000049996243","3752.800000011921","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","70","576732","0.0-8.0-1.9","","","","","","","","","","reconstruct","","","","","","718.0000999949923","252.99000049996243","3752.800000011921","","","","","","","","","4","500","350","238.6105270117476","205.05489569349075","438.2455765763211","false"
"","","","","","html-keyboard-response","71","579735","0.0-8.0-0.10","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","356.42114317029973","357.87","4","","","","","","",""
"","","","","","html-keyboard-response","72","584528","0.0-8.0-1.10","","","","","","","","","","","","","","","","655.0030761098061","252.99048487790614","4792.600000023842","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","72","584528","0.0-8.0-1.10","","","","","","","","","","reconstruct","","","","","","655.0030761098061","252.99048487790614","4792.600000023842","","","","","","","","","6","625","350","101.54324497609171","268.69413695864046","316.46624365031005","false"
