"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","view_history","triangle_prac_final_x","triangle_prac_final_y","trial_name","stimulus","ball_X_prac_occ","ball_Y_prac_occ","obstacle_X_prac_occ","obstacle_Y_prac_occ","triangle_final_x","triangle_final_y","response_time","obstacle_X_prac_occ_init","obstacle_Y_prac_occ_init","question_order","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","obstacle_idx","obstacle_initial_x","obstacle_initial_y","final_to_initial_distance","initial_to_groundTruth_distance","final_to_groundTruth_distance","finalInBetweenInitGround"
"","","","","","html-keyboard-response","33","195065","0.0-6.0-1.9","","","","","","","","","","","","","","","","742.999900005","271.9900004999625","4495.700000017881","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","195065","0.0-6.0-1.9","","","","","","","","","","reconstruct","","","","","","742.999900005","271.9900004999625","4495.700000017881","","","","","","","","","5","625","250","120.03139807224751","350.6375970361613","457.8641659775834","false"
"","","","","","html-keyboard-response","34","198076","0.0-6.0-0.10","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","604.4000000000001","596.8711431702998","394.5","10","","","","","","",""
"","","","","","html-keyboard-response","35","201116","0.0-6.0-1.10","","","","","","","","","","","","","","","","437.01","262.99999999999994","3039.0999999940395","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","201116","0.0-6.0-1.10","","","","","","","","","","reconstruct","","","","","","437.01","262.99999999999994","3039.0999999940395","","","","","","","","","4","500","350","107.40921794706455","106.60332255197638","206.99718620240975","false"
"","","","","","html-keyboard-response","36","204123","0.0-6.0-0.11","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","500","553.4711431702997","282.51","7","","","","","","",""
"","","","","","html-keyboard-response","37","210382","0.0-6.0-1.11","","","","","","","","","","","","","","","","497","273.01","6258.700000017881","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","210382","0.0-6.0-1.11","","","","","","","","","","reconstruct","","","","","","497","273.01","6258.700000017881","","","","","","","","","2","375","350","144.2617762957326","190.8057888129016","57.26464887660174","true"
"","","","","","html-keyboard-response","38","213392","0.0-6.0-0.12","","","","null","","null","","","","fallScene","","","","","","","","","","","","false","604.4000000000001","575.4211431702997","266.76","12","","","","","","",""
"","","","","","html-keyboard-response","39","216165","0.0-6.0-1.12","","","","","","","","","","","","","","","","517.9900002678578","302.99992680790103","2772.2999999821186","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","216165","0.0-6.0-1.12","","","","","","","","","","reconstruct","","","","","","517.9900002678578","302.99992680790103","2772.2999999821186","","","","","","","","","3","500","250","55.969923631182404","77.26089850056657","67.90926645254484","true"
"","","","","","html-keyboard-response","40","219173","0.0-6.0-0.13","","","","null","","null","","","","fallScene","","","","","","","","","","","","true","322.3","356.42114317029973","357.87","4","","","","","","",""
"","","","","","html-keyboard-response","41","222199","0.0-6.0-1.13","","","","","","","","","","","","","","","","638.0000000000025","263.99","3025.5","","","","","","","","","","","","","","",""
