"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","response","flipped","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","triangle_final_x","triangle_final_y","response_time","obstacle_idx","obstacle_initial_x","obstacle_initial_y"
"","","","","","html-keyboard-response","27","54648","0.0-3.0-0.12","","","","","","","","","","","","","","","","null","","null","false","322.3","379.3711431702997","245.25","1","fallScene","","","","","",""
"","","","","","html-keyboard-response","28","55191","0.0-3.0-1.12","","","","","","","","","","","","","","","","","","","","","","","","","625","250","542","","",""
"","","","","","html-keyboard-response","28","55191","0.0-3.0-1.12","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","625","250","542","5","625","250"
"","","","","","html-keyboard-response","29","58195","0.0-3.0-0.13","","","","","","","","","","","","","","","","null","","null","true","604.4000000000001","667.6211431702998","201.78","9","fallScene","","","","","",""
"","","","","","html-keyboard-response","30","58545","0.0-3.0-1.13","","","","","","","","","","","","","","","","","","","","","","","","","500","350","350","","",""
"","","","","","html-keyboard-response","30","58545","0.0-3.0-1.13","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","500","350","350","4","500","350"
"","","","","","html-keyboard-response","31","61548","0.0-3.0-0.14","","","","","","","","","","","","","","","","null","","null","false","604.4000000000001","575.4211431702997","266.76","12","fallScene","","","","","",""
"","","","","","html-keyboard-response","32","62659","0.0-3.0-1.14","","","","","","","","","","","","","","","","","","","","","","","","","500","250","1110","","",""
"","","","","","html-keyboard-response","32","62659","0.0-3.0-1.14","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","500","250","1110","3","500","250"
"","","","","","html-keyboard-response","33","65662","0.0-3.0-0.15","","","","","","","","","","","","","","","","null","","null","false","604.4000000000001","596.8711431702998","394.5","10","fallScene","","","","","",""
"","","","","","html-keyboard-response","34","66245","0.0-3.0-1.15","","","","","","","","","","","","","","","","","","","","","","","","","500","250","582","","",""
"","","","","","html-keyboard-response","34","66245","0.0-3.0-1.15","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","500","250","582","3","500","250"
"","","","","","html-keyboard-response","35","69248","0.0-3.0-0.16","","","","","","","","","","","","","","","","null","","null","true","604.4000000000001","596.8711431702998","394.5","10","fallScene","","","","","",""
"","","","","","html-keyboard-response","36","69719","0.0-3.0-1.16","","","","","","","","","","","","","","","","","","","","","","","","","375","350","471","","",""
"","","","","","html-keyboard-response","36","69719","0.0-3.0-1.16","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","375","350","471","2","375","350"
"","","","","","html-keyboard-response","37","72722","0.0-3.0-0.17","","","","","","","","","","","","","","","","null","","null","false","604.4000000000001","667.6211431702998","201.78","9","fallScene","","","","","",""
"","","","","","html-keyboard-response","38","73413","0.0-3.0-1.17","","","","","","","","","","","","","","","","","","","","","","","","","500","250","689.9999999999854","","",""
"","","","","","html-keyboard-response","38","73413","0.0-3.0-1.17","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","500","250","689.9999999999854","3","500","250"
"","","","","","html-button-response","39","74929","0.0-4.0","","","","","","","","","","","","","","","","1514","<p><span style = ""font-size:40px;"">BREAK</span></p><p>You are doing great! Click 'Next' when you are ready for the next set.</p>","0","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","77932","0.0-5.0-0.0","","","","","","","","","","","","","","","","null","","null","true","500","510.8711431702997","369.03","8","fallScene","","","","","",""
"","","","","","html-keyboard-response","41","78730","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","375","350","797","","",""
"","","","","","html-keyboard-response","41","78730","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","375","350","797","2","375","350"
"","","","","","html-keyboard-response","42","81734","0.0-5.0-0.1","","","","","","","","","","","","","","","","null","","null","true","604.4000000000001","650.0211431702996","404.58000000000004","11","fallScene","","","","","",""
"","","","","","html-keyboard-response","43","82158","0.0-5.0-1.1","","","","","","","","","","","","","","","","","","","","","","","","","500","350","421.99999999998545","","",""
"","","","","","html-keyboard-response","43","82158","0.0-5.0-1.1","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","500","350","421.99999999998545","4","500","350"
"","","","","","html-keyboard-response","44","85160","0.0-5.0-0.2","","","","","","","","","","","","","","","","null","","null","true","500","453.67114317029973","210.33","5","fallScene","","","","","",""
"","","","","","html-keyboard-response","45","85659","0.0-5.0-1.2","","","","","","","","","","","","","","","","","","","","","","","","","500","350","497","","",""
"","","","","","html-keyboard-response","45","85659","0.0-5.0-1.2","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","500","350","497","4","500","350"
"","","","","","html-keyboard-response","46","88661","0.0-5.0-0.3","","","","","","","","","","","","","","","","null","","null","true","322.3","296.07114317029976","371.46","3","fallScene","","","","","",""
"","","","","","html-keyboard-response","47","89127","0.0-5.0-1.3","","","","","","","","","","","","","","","","","","","","","","","","","500","250","465","","",""
"","","","","","html-keyboard-response","47","89127","0.0-5.0-1.3","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","500","250","465","3","500","250"
"","","","","","html-keyboard-response","48","92131","0.0-5.0-0.4","","","","","","","","","","","","","","","","null","","null","false","322.3","379.3711431702997","245.25","1","fallScene","","","","","",""
"","","","","","html-keyboard-response","49","92578","0.0-5.0-1.4","","","","","","","","","","","","","","","","","","","","","","","","","375","250","445","","",""
"","","","","","html-keyboard-response","49","92578","0.0-5.0-1.4","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","375","250","445","1","375","250"
"","","","","","html-keyboard-response","50","95583","0.0-5.0-0.5","","","","","","","","","","","","","","","","null","","null","true","322.3","296.07114317029976","371.46","3","fallScene","","","","","",""
"","","","","","html-keyboard-response","51","96084","0.0-5.0-1.5","","","","","","","","","","","","","","","","","","","","","","","","","375","250","500","","",""
"","","","","","html-keyboard-response","51","96084","0.0-5.0-1.5","","","","","","","","","","","","","","","","","","","","","","","","reconstruct","375","250","500","1","375","250"
"","","","","","html-keyboard-response","52","99087","0.0-5.0-0.6","","","","","","","","","","","","","","","","null","","null","false","322.3","356.42114317029973","357.87","4","fallScene","","","","","",""
