"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck","practiceTest","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","instructions","29","806122","0.0-11.1-0.1-0.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","[{""page_index"":0,""viewing_time"":42510},{""page_index"":1,""viewing_time"":38904},{""page_index"":2,""viewing_time"":14536},{""page_index"":3,""viewing_time"":15585}]","111535","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","835766","0.0-11.1-0.1-1.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","29138","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","f","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","837872","0.0-11.1-0.1-2.1-0.3","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","","","","","",""
"","","","","","html-keyboard-response","32","847247","0.0-11.1-0.1-2.1-1.3","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","9369","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","","","","","",""
"","","","","","html-keyboard-response","33","848804","0.0-11.1-0.1-2.1-0.4","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","","",""
"","","","","","html-keyboard-response","34","852550","0.0-11.1-0.1-2.1-1.4","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","3741","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","","","","","",""
"","","","","","html-keyboard-response","35","854121","0.0-11.1-0.1-2.1-0.5","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","","","","","",""
"","","","","","html-keyboard-response","36","862939","0.0-11.1-0.1-2.1-1.5","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","8813","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","","","","","",""
"","","","","","instructions","37","922584","0.0-11.1-0.1-3.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","[{""page_index"":0,""viewing_time"":37668},{""page_index"":1,""viewing_time"":21976}]","59644","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","38","1635907","0.0-11.1-0.1-4.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","712807","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","39","1673953","0.0-11.1-1.1-0.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","38044","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","40","1684041","0.0-11.1-1.1-1.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","10087","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","41","1691833","0.0-11.1-1.1-2.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","7791","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","42","1706929","0.0-11.1-1.1-3.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","15095","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","43","1720017","0.0-11.1-1.1-4.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","13087","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","44","1735921","0.0-11.1-1.1-5.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","15903","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]","","","","",""
"","","","","","survey-multi-choice","45","1773505","0.0-11.1-1.1-6.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","37583","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]","","","","",""
"","","","","","instructions","46","1817241","0.0-12.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","[{""page_index"":0,""viewing_time"":20398},{""page_index"":1,""viewing_time"":9352},{""page_index"":2,""viewing_time"":5880},{""page_index"":3,""viewing_time"":8104}]","43735","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","47","1845160","0.0-13.0-0.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","[{""page_index"":0,""viewing_time"":27919}]","27919","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","1849586","0.0-13.0-1.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","4424","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 1</span></p><p><span style=""font-size:25px;"">You have <b style=""color: #FF644F;""><strong>3 second(s)</strong></b> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","49","1851163","0.0-13.0-2.0-0.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","610","263","4","fallScene","false","","","","","","","",""
"","","","","","html-keyboard-response","50","1854168","0.0-13.0-2.0-1.0","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","null","","","","","","","","","","","","","","null","yesOrNo_prac","","","","4","","","gt","3000","","","","","",""
"","","","","","html-keyboard-response","51","1855730","0.0-13.0-2.0-0.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","","","","","","","","","","","","","","","","ballFalling_prac","584","536","296","1","fallScene","true","","","","","","","",""
"","","","","","html-keyboard-response","52","1858735","0.0-13.0-2.0-1.1","6782480e666627776dd0df39","6790928bebf0b969fc839b02","67929ca8197c86e1d188b06d","passed","","2898","","","","","","","","","","","","","","j","yesOrNo_prac","","","","1","","","close gt","3000","","","","","",""
