"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","practiceTest","currentTrial","obstacle_choice_x","obstacle_choice_y"
"","","","","","survey-multi-choice","27","274244","0.0-11.0-1.0-6.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","11906","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]","","","",""
"","","","","","instructions","28","295291","0.0-12.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","[{""page_index"":0,""viewing_time"":5815},{""page_index"":1,""viewing_time"":4338},{""page_index"":2,""viewing_time"":5160},{""page_index"":3,""viewing_time"":5733}]","21047","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","29","303027","0.0-13.0-0.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","[{""page_index"":0,""viewing_time"":7736}]","7736","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","306257","0.0-13.0-1.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","3229","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 1</span></p><p><span style=""font-size:25px;"">You have <strong>3 second(s)</strong> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","307819","0.0-13.0-2.0-0.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","32","308463","0.0-13.0-2.0-1.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","642","","","","","","","","","","","","","","f","yesOrNo_prac","","","","1","","","far gt","3000","","","","",""
"","","","","","html-keyboard-response","33","310038","0.0-13.0-2.0-0.1","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","610","263","4","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","34","310924","0.0-13.0-2.0-1.1","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","884","","","","","","","","","","","","","","j","yesOrNo_prac","","","","4","","","gt","3000","","","","",""
"","","","","","html-keyboard-response","35","312491","0.0-13.0-2.0-0.2","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","","","","","","","","","","","","","","","","ballFalling_prac","584","536","296","1","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","36","313205","0.0-13.0-2.0-1.2","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","713","","","","","","","","","","","","","","f","yesOrNo_prac","","","","1","","","close gt","3000","","","","",""
"","","","","","html-keyboard-response","37","315858","0.0-13.0-3.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","2652","","","","","","","","","","","","","<p><span style=""font-size:40px;"">Practice BLOCK 2</span></p><p><span style=""font-size:25px;"">You have <strong>1 second(s)</strong> to respond to the following trials.</span><br></p><p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p><style>
                    @keyframes blink {
                        50% {
                            opacity: 0;
                        }
                    }
                </style>"," ","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","317412","0.0-13.0-4.0-0.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","500","317","6","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","39","318414","0.0-13.0-4.0-1.0","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","null","","","","","","","","","","","","","","null","yesOrNo_prac","","","","6","","","gt","1000","","","","",""
"","","","","","html-keyboard-response","40","319998","0.0-13.0-4.0-0.1","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","610","263","4","fallScene","false","","","","","","",""
"","","","","","html-keyboard-response","41","320323","0.0-13.0-4.0-1.1","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","323","","","","","","","","","","","","","","j","yesOrNo_prac","","","","4","","","far gt","1000","","","","",""
"","","","","","html-keyboard-response","42","322434","0.0-13.0-4.0-0.2","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","","","","","","","","","","","","","","","","ballFalling_prac","340","334","350","3","fallScene","true","","","","","","",""
"","","","","","html-keyboard-response","43","323320","0.0-13.0-4.0-1.2","6651064be071e3482a85f01c","67619bf32066d179f8b4b1ec","6789494d9e46d96811b3b9c7","passed","","885","","","","","","","","","","","","","","f","yesOrNo_prac","","","","3","","","close gt","1000","","","","",""
